Project Name                                    ,prefix       ,num issues,All Comments,Average comments  ,Issues with comments,Average commented issue,Min comment,Max comment,Percentage of issues without comments
Commons Digester                                ,DIGESTER     ,192       ,707         ,3.6822916666666665,178                 ,3.9719101123595504     ,0          ,33         ,0.07291666666666667
Commons Discovery                               ,DISCOVERY    ,21        ,124         ,5.904761904761905 ,19                  ,6.526315789473684      ,0          ,31         ,0.09523809523809523
Commons EL                                      ,EL           ,20        ,88          ,4.4               ,16                  ,5.5                    ,0          ,17         ,0.2
Commons Email                                   ,EMAIL        ,187       ,750         ,4.010695187165775 ,173                 ,4.335260115606936      ,0          ,17         ,0.0748663101604278
Commons Exec                                    ,EXEC         ,111       ,369         ,3.324324324324324 ,97                  ,3.804123711340206      ,0          ,29         ,0.12612612612612611
Commons FileUpload                              ,FILEUPLOAD   ,300       ,1180        ,3.933333333333333 ,287                 ,4.111498257839721      ,0          ,43         ,0.043333333333333335
Commons Functor                                 ,FUNCTOR      ,31        ,132         ,4.258064516129032 ,31                  ,4.258064516129032      ,1          ,26         ,0.0
Commons IO                                      ,IO           ,637       ,2249        ,3.5306122448979593,558                 ,4.030465949820789      ,0          ,86         ,0.12401883830455258
Commons JCI                                     ,JCI          ,77        ,225         ,2.9220779220779223,72                  ,3.125                  ,0          ,16         ,0.06493506493506493
Commons JCS                                     ,JCS          ,201       ,628         ,3.1243781094527363,177                 ,3.5480225988700567     ,0          ,19         ,0.11940298507462686
Commons Jelly                                   ,JELLY        ,291       ,873         ,3.0               ,257                 ,3.396887159533074      ,0          ,52         ,0.11683848797250859
Commons JEXL                                    ,JEXL         ,326       ,1346        ,4.128834355828221 ,322                 ,4.180124223602484      ,0          ,69         ,0.012269938650306749
Commons JXPath                                  ,JXPATH       ,195       ,517         ,2.651282051282051 ,183                 ,2.8251366120218577     ,0          ,45         ,0.06153846153846154
Commons Lang                                    ,LANG         ,1481      ,7187        ,4.856081081081081 ,1406                ,5.111664295874823      ,0          ,137        ,0.05
Commons Launcher                                ,LAUNCHER     ,12        ,17          ,1.4166666666666667,7                   ,2.4285714285714284     ,0          ,8          ,0.4166666666666667
Commons Logging                                 ,LOGGING      ,167       ,722         ,4.349397590361446 ,162                 ,4.45679012345679       ,0          ,38         ,0.024096385542168676
Commons Math                                    ,MATH         ,1505      ,7816        ,5.193355481727575 ,1457                ,5.3644474948524365     ,0          ,82         ,0.03189368770764119
Commons Modeler                                 ,MODELER      ,32        ,42          ,1.3125            ,24                  ,1.75                   ,0          ,5          ,0.25
Commons Net                                     ,NET          ,672       ,2420        ,3.6011904761904763,590                 ,4.101694915254237      ,0          ,65         ,0.12202380952380952
Commons OGNL                                    ,OGNL         ,260       ,799         ,3.0730769230769233,190                 ,4.205263157894737      ,0          ,62         ,0.2692307692307692
Commons Pool                                    ,POOL         ,366       ,1362        ,3.721311475409836 ,354                 ,3.847457627118644      ,0          ,27         ,0.03278688524590164
Commons Proxy                                   ,PROXY        ,28        ,42          ,1.5               ,17                  ,2.4705882352941178     ,0          ,9          ,0.39285714285714285
Commons RNG                                     ,RNG          ,125       ,779         ,6.232             ,122                 ,6.385245901639344      ,0          ,75         ,0.024
Commons SCXML                                   ,SCXML        ,285       ,750         ,2.6315789473684212,235                 ,3.1914893617021276     ,0          ,19         ,0.17543859649122806
Commons Validator                               ,VALIDATOR    ,462       ,1491        ,3.234273318872017 ,428                 ,3.4836448598130842     ,0          ,25         ,0.07158351409978309
Commons VFS                                     ,VFS          ,761       ,2651        ,3.5112582781456956,658                 ,4.02887537993921       ,0          ,67         ,0.12847682119205298
Commons Weaver                                  ,WEAVER       ,26        ,35          ,1.3461538461538463,21                  ,1.6666666666666667     ,0          ,5          ,0.19230769230769232
Continuum                                       ,CONTINUUM    ,2724      ,6272        ,2.302496328928047 ,2289                ,2.7400611620795106     ,0          ,30         ,0.15969162995594713
Crunch                                          ,CRUNCH       ,693       ,3950        ,5.708092485549133 ,663                 ,5.957767722473605      ,0          ,30         ,0.04190751445086705
cTAKES                                          ,CTAKES       ,539       ,1513        ,2.8070500927643787,417                 ,3.628297362110312      ,0          ,56         ,0.22634508348794063
CXF                                             ,CXF          ,8125      ,21278       ,2.6223810697559773,5686                ,3.742173760112557      ,0          ,113        ,0.29923588858762634
Daffodil                                        ,DAFFODIL     ,2247      ,6717        ,3.0               ,1986                ,3.382175226586103      ,0          ,43         ,0.11299687360428763
DataFu                                          ,DATAFU       ,151       ,863         ,5.71523178807947  ,138                 ,6.253623188405797      ,0          ,45         ,0.08609271523178808
DeltaSpike                                      ,DELTASPIKE   ,1400      ,3466        ,2.4971181556195967,955                 ,3.6293193717277488     ,0          ,58         ,0.31195965417867433
Derby                                           ,DERBY        ,7059      ,60781       ,8.611646358741853 ,6731                ,9.03001039964344       ,0          ,207        ,0.046330405213941626
DeviceMap                                       ,DMAP         ,204       ,298         ,1.4607843137254901,120                 ,2.4833333333333334     ,0          ,18         ,0.4117647058823529
