Databases
---------
Project                      ,Categories by Apache                                                                                                                              ,Category by studying documentation              ,Source                                                                     ,Reasoning
Accumulo                     ,big-data                                                                                                                                          ,key value store                                 ,"https://accumulo.apache.org/, https://github.com/apache/accumulo"         ,it is a system for storing data
Cassandra                    ,database                                                                                                                                          ,                                                ,                                                                           ,
Derby                        ,database                                                                                                                                          ,                                                ,http://db.apache.org/derby/                                                ,relational database implemented entirely in java
Directory       ,Network-client      ,network-server                                                                                    ,Database (we can rename this group to data store)                         ,http://directory.apache.org/                                                                                                                          ,
Directory Studio,Network-client      ,network-server                                                                                    ,Database (we can rename this group to data store)                         ,
HBase                        ,database                                                                                                                                          ,                                                ,http://hbase.apache.org/                                                   ,
Hive                         ,database                                                                                                                                          ,                                                ,http://hive.apache.org/                                                    ,
Tajo            ,big-data            ,Database                                                                                          ,http://tajo.apache.org/
