Middleware
----------
Project                      ,Categories by Apache                                                                                                                              ,Category by studying documentation              ,Source                                                                     ,Reasoning
Brooklyn        ,cloud               ,Cloud (cannot fit it with others)                                                                 ,http://brooklyn.apache.org/                                               ,software to deploy and monitore your software project
CloudStack      ,cloud               ,Cloud (cannot fit it with others)                                                                 ,http://cloudstack.apache.org/                                             ,It is IaaS cloud computing platform used to deploy and manage large networks
JSPWiki                      ,content                                                  ,wiki engine                       ,https://projects.apache.org/project.html?jspwiki                           ,
TomEE           ,network-server      ,Web-server (cannot categorize it. Does it makes sense to make category for web development. If not,I would add it to frameworks).                                            ,http://tomee.apache.org/                                                                                                                              ,
Solr            ,Network-server      ,search                                                                                            ,web-framework                                                             ,Searching platform (cannot categorize it in existing categories). It should be categorized like Apache Lucene                                         ,https://lucene.apache.org/solr/,
