Databases
---------
Project                      ,Categories by Apache                                                                                                                              ,Category by studying documentation              ,Source                                                                     ,Reasoning
Accumulo                     ,big-data                                                                                                                                          ,key value store                                 ,"https://accumulo.apache.org/, https://github.com/apache/accumulo"         ,it is a system for storing data
Cassandra                    ,database                                                                                                                                          ,                                                ,                                                                           ,
Derby                        ,database                                                                                                                                          ,                                                ,http://db.apache.org/derby/                                                ,relational database implemented entirely in java
HBase                        ,database                                                                                                                                          ,                                                ,http://hbase.apache.org/                                                   ,
Hive                         ,database                                                                                                                                          ,                                                ,http://hive.apache.org/                                                    ,
